Familia,Valor,Th_C,Lstrike_km,h_km,L_int_km,Lmax_km,Npatches,Tmean_above_C,Ares_km2,Vres_km3,Vres_m3,Pe_W,Pe_MW,"Pe_R (conservador,0.02)","Pe_R (realista,0.05)",Promedio,PeA_MW_km2
Pulso,200,150,20,0.5,30,30,1,201.1808755,600,300,300000000000,2674295287,2674.295287,53.48590573,133.7147643,93.60033504,4.457158811
Pulso,250,200,10,1,14.2968,14.2968,1,213.9412412,142.968,142.968,142968000000,1505209444,1505.209444,30.10418887,75.26047218,52.68233052,10.52829615
Pulso,250,200,15,1,14.2968,14.2968,1,213.9412412,214.452,214.452,214452000000,2257814165,2257.814165,45.15628331,112.8907083,79.02349578,10.52829615
Pulso,250,200,20,1,14.2968,14.2968,1,213.9412412,285.936,285.936,285936000000,3010418887,3010.418887,60.20837774,150.5209444,105.364661,10.52829615
Pulso,200,200,10,1,12.6562,12.6562,1,213.7628882,126.562,126.562,126562000000,1329514922,1329.514922,26.59029843,66.47574609,46.53302226,10.50485076
Pulso,200,200,15,1,12.6562,12.6562,1,213.7628882,189.843,189.843,189843000000,1994272383,1994.272383,39.88544765,99.71361913,69.79953339,10.50485076
Pulso,200,200,20,1,12.6562,12.6562,1,213.7628882,253.124,253.124,253124000000,2659029843,2659.029843,53.18059687,132.9514922,93.06604452,10.50485076
Pulso,150,180,10,1,30,30,1,197.6764977,300,300,300000000000,2548077400,2548.0774,50.961548,127.40387,89.18270901,8.493591334
Pulso,150,180,15,1,30,30,1,197.6764977,450,450,450000000000,3822116100,3822.1161,76.44232201,191.105805,133.7740635,8.493591334
Pulso,150,180,20,1,30,30,1,197.6764977,600,600,600000000000,5096154800,5096.1548,101.923096,254.80774,178.365418,8.493591334
Pulso,150,180,10,0.5,30,30,1,197.6764977,300,150,150000000000,1274038700,1274.0387,25.480774,63.70193501,44.5913545,4.246795667
Pulso,150,180,15,0.5,30,30,1,197.6764977,450,225,225000000000,1911058050,1911.05805,38.221161,95.55290251,66.88703176,4.246795667
Pulso,150,180,20,0.5,30,30,1,197.6764977,600,300,300000000000,2548077400,2548.0774,50.961548,127.40387,89.18270901,4.246795667
Pulso,250,150,10,1,30,30,1,202.702938,300,300,300000000000,2730022568,2730.022568,54.60045136,136.5011284,95.55078987,9.100075226
Pulso,250,150,15,1,30,30,1,202.702938,450,450,450000000000,4095033852,4095.033852,81.90067704,204.7516926,143.3261848,9.100075226
Pulso,250,150,20,1,30,30,1,202.702938,600,600,600000000000,5460045136,5460.045136,109.2009027,273.0022568,191.1015797,9.100075226
Pulso,250,150,10,0.5,30,30,1,202.702938,300,150,150000000000,1365011284,1365.011284,27.30022568,68.2505642,47.77539494,4.550037613
Pulso,250,150,15,0.5,30,30,1,202.702938,450,225,225000000000,2047516926,2047.516926,40.95033852,102.3758463,71.66309241,4.550037613
Pulso,250,150,20,0.5,30,30,1,202.702938,600,300,300000000000,2730022568,2730.022568,54.60045136,136.5011284,95.55078987,4.550037613
Pulso,150,200,15,1,9.8438,9.8438,1,210.2701907,147.657,147.657,147657000000,1484068647,1484.068647,29.68137294,74.20343236,51.94240265,10.05078423
Pulso,150,200,10,1,9.8438,9.8438,1,210.2701907,98.438,98.438,98438000000,989379098.1,989.3790981,19.78758196,49.46895491,34.62826844,10.05078423
Pulso,150,200,20,1,9.8438,9.8438,1,210.2701907,196.876,196.876,196876000000,1978758196,1978.758196,39.57516393,98.93790981,69.25653687,10.05078423
Pulso,250,200,10,0.5,14.2968,14.2968,1,213.9412412,142.968,71.484,71484000000,752604721.8,752.6047218,15.05209444,37.63023609,26.34116526,5.264148073
Pulso,250,200,15,0.5,14.2968,14.2968,1,213.9412412,214.452,107.226,107226000000,1128907083,1128.907083,22.57814165,56.44535413,39.51174789,5.264148073
Pulso,250,200,20,0.5,14.2968,14.2968,1,213.9412412,285.936,142.968,142968000000,1505209444,1505.209444,30.10418887,75.26047218,52.68233052,5.264148073
Pulso,200,180,10,1,30,30,1,201.1808755,300,300,300000000000,2674295287,2674.295287,53.48590573,133.7147643,93.60033504,8.914317622
Pulso,200,180,15,1,30,30,1,201.1808755,450,450,450000000000,4011442930,4011.44293,80.2288586,200.5721465,140.4005026,8.914317622
